epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,778.094,0.9081,1.59121,1.21367,0.97892,0.98592,0.99212,0.82753,0.73655,0.55839,0.98841,0.00332923,0.00332923,0.00332923
2,1541.34,0.92139,0.66769,1.19839,0.95892,0.98632,0.98947,0.75444,1.00737,0.51501,1.13892,0.00659661,0.00659661,0.00659661
3,2301.75,0.96046,0.6027,1.25054,0.98236,0.99155,0.99297,0.83251,0.75627,0.47349,1.14989,0.00979798,0.00979798,0.00979798
4,3061.27,0.95462,0.58014,1.27322,0.9778,0.99255,0.99339,0.83813,0.74425,0.40995,1.10801,0.009703,0.009703,0.009703
5,3821.12,0.90752,0.51852,1.24407,0.98796,0.98732,0.99436,0.8329,0.7534,0.38909,1.05667,0.009604,0.009604,0.009604
6,4580.78,0.88611,0.49468,1.23515,0.97944,0.99155,0.99104,0.85169,0.66582,0.38745,1.06727,0.009505,0.009505,0.009505
7,5340.5,0.86752,0.47337,1.21518,0.98697,0.99155,0.99315,0.85155,0.66591,0.3486,1.06545,0.009406,0.009406,0.009406
8,6100.24,0.85544,0.45925,1.20849,0.99317,0.98873,0.99466,0.85517,0.66141,0.33435,1.07361,0.009307,0.009307,0.009307
9,6859.71,0.84999,0.45025,1.20853,0.98695,0.99437,0.99329,0.86162,0.63201,0.30623,1.08344,0.009208,0.009208,0.009208
10,7618.71,0.84178,0.43836,1.2099,0.98895,0.99296,0.99323,0.85731,0.66086,0.32823,1.09229,0.009109,0.009109,0.009109
11,8377.13,0.83246,0.43153,1.19158,0.98878,0.99328,0.99376,0.86474,0.64705,0.3047,1.05871,0.00901,0.00901,0.00901
12,9136.62,0.82497,0.42101,1.18696,0.98575,0.99296,0.99312,0.85525,0.64793,0.31646,1.0459,0.008911,0.008911,0.008911
13,9895.46,0.81298,0.41533,1.18298,0.99562,0.99437,0.99473,0.85942,0.64083,0.28552,1.07901,0.008812,0.008812,0.008812
14,10654.2,0.80799,0.40695,1.17461,0.99546,0.99296,0.99479,0.8642,0.64614,0.29291,1.01084,0.008713,0.008713,0.008713
15,11412.7,0.79725,0.39967,1.16847,0.997,0.99296,0.99474,0.86417,0.6392,0.28038,1.01011,0.008614,0.008614,0.008614
16,12171.6,0.80926,0.39799,1.17221,0.99157,0.99437,0.99427,0.8696,0.61951,0.27862,0.99932,0.008515,0.008515,0.008515
17,12929.7,0.79673,0.39337,1.17467,0.99488,0.99296,0.99443,0.8692,0.62102,0.27207,1.07728,0.008416,0.008416,0.008416
18,13687.4,0.79989,0.39506,1.18489,0.99419,0.99437,0.99447,0.86739,0.61462,0.2722,1.07051,0.008317,0.008317,0.008317
19,764.052,0.78496,0.38527,1.1682,0.99577,0.9941,0.99447,0.87794,0.60518,0.25306,1.07411,0.008218,0.008218,0.008218
20,1522.45,0.78589,0.38004,1.15367,0.99417,0.99437,0.99476,0.87234,0.62098,0.26486,1.01829,0.008119,0.008119,0.008119
21,2281.16,0.78824,0.38253,1.16488,0.99675,0.99437,0.99469,0.87483,0.59946,0.25246,1.06375,0.00802,0.00802,0.00802
22,3039.36,0.78392,0.38229,1.16182,0.9941,0.99437,0.99421,0.87479,0.59824,0.25452,1.05809,0.007921,0.007921,0.007921
23,3797.41,0.77195,0.3727,1.15205,0.99659,0.99437,0.99455,0.86987,0.6069,0.25657,1.02702,0.007822,0.007822,0.007822
24,4555.07,0.76859,0.36849,1.14946,0.99704,0.99437,0.99467,0.87443,0.60161,0.25184,1.03335,0.007723,0.007723,0.007723
25,5312.49,0.76715,0.36849,1.16103,0.99695,0.99437,0.99489,0.87767,0.59833,0.24291,1.06189,0.007624,0.007624,0.007624
26,6070.24,0.76178,0.36426,1.14534,0.99323,0.99437,0.99444,0.87375,0.60253,0.24954,1.06171,0.007525,0.007525,0.007525
27,6827.91,0.76232,0.36562,1.14577,0.996,0.99437,0.99461,0.87548,0.5919,0.24211,1.06019,0.007426,0.007426,0.007426
28,7586.58,0.76172,0.36258,1.15143,0.99717,0.99388,0.99466,0.87532,0.59886,0.24822,1.01481,0.007327,0.007327,0.007327
29,8345.34,0.75767,0.36054,1.13557,0.99717,0.99285,0.99466,0.87679,0.59774,0.2432,1.03585,0.007228,0.007228,0.007228
30,9103.7,0.75424,0.35769,1.14478,0.99157,0.99437,0.99431,0.87658,0.5898,0.23978,1.05405,0.007129,0.007129,0.007129
31,9861.83,0.75132,0.35828,1.14707,0.99437,0.99559,0.99457,0.88045,0.58963,0.23456,1.0564,0.00703,0.00703,0.00703
32,10620.8,0.74567,0.34911,1.14241,0.99718,0.99567,0.99459,0.8794,0.59784,0.23157,1.05819,0.006931,0.006931,0.006931
33,11378.9,0.73794,0.34923,1.13633,0.99692,0.99577,0.99446,0.87471,0.59757,0.23204,1.06004,0.006832,0.006832,0.006832
34,12137.4,0.74882,0.35002,1.1409,0.99669,0.99296,0.99435,0.88301,0.58989,0.23341,1.01659,0.006733,0.006733,0.006733
35,12895.1,0.73913,0.34736,1.12659,0.99703,0.99577,0.99453,0.8811,0.59011,0.23322,1.02606,0.006634,0.006634,0.006634
36,13652.9,0.744,0.34815,1.14241,0.99643,0.99437,0.99461,0.87568,0.58317,0.22541,1.05574,0.006535,0.006535,0.006535
37,14410.5,0.73721,0.34302,1.12017,0.99713,0.99577,0.99473,0.88039,0.58713,0.2287,1.00874,0.006436,0.006436,0.006436
38,15168.1,0.73706,0.34424,1.13012,0.99525,0.99577,0.99466,0.87999,0.59072,0.22763,1.03672,0.006337,0.006337,0.006337
39,15926,0.73301,0.3432,1.11684,0.99437,0.99437,0.9945,0.88088,0.58803,0.23132,1.00645,0.006238,0.006238,0.006238
40,16684.4,0.72822,0.34107,1.11244,0.99542,0.99437,0.99465,0.88272,0.58715,0.22916,0.99693,0.006139,0.006139,0.006139
41,17442.8,0.72411,0.33598,1.11178,0.99668,0.99437,0.99447,0.88122,0.58122,0.22224,0.99616,0.00604,0.00604,0.00604
42,18200.9,0.72111,0.33491,1.10601,0.99582,0.99577,0.99448,0.88653,0.58165,0.22105,0.98798,0.005941,0.005941,0.005941
43,18959.3,0.72853,0.3396,1.11343,0.99667,0.99577,0.99454,0.8861,0.58316,0.22244,0.99569,0.005842,0.005842,0.005842
44,19717.3,0.72652,0.33904,1.09939,0.99679,0.99437,0.99448,0.8857,0.57925,0.22117,0.97044,0.005743,0.005743,0.005743
45,20475.2,0.72002,0.33371,1.1107,0.99718,0.99577,0.99454,0.89283,0.57907,0.21828,1.00419,0.005644,0.005644,0.005644
46,763.731,0.70696,0.32415,1.09703,0.99577,0.99577,0.99466,0.89198,0.58143,0.22075,1.00426,0.005545,0.005545,0.005545
47,1521.93,0.71165,0.32637,1.0967,0.99588,0.99437,0.99467,0.88752,0.58169,0.2172,0.99573,0.005446,0.005446,0.005446
48,2280.14,0.71534,0.32666,1.08992,0.99577,0.99437,0.99464,0.88874,0.58135,0.21155,0.97043,0.005347,0.005347,0.005347
49,3038.22,0.7123,0.32843,1.09282,0.99636,0.99437,0.99453,0.89287,0.58298,0.21306,0.97201,0.005248,0.005248,0.005248
50,3796.24,0.70082,0.32386,1.09241,0.99669,0.99437,0.99468,0.88753,0.58169,0.21514,0.98182,0.005149,0.005149,0.005149
51,4554.17,0.70129,0.32156,1.09137,0.99562,0.99437,0.99449,0.89019,0.58236,0.21294,0.98067,0.00505,0.00505,0.00505
52,5311.96,0.69831,0.31693,1.09421,0.99677,0.99437,0.99445,0.89334,0.57843,0.21068,0.99412,0.004951,0.004951,0.004951
53,763.581,0.6751,0.30819,1.06891,0.99697,0.99437,0.9945,0.88719,0.58002,0.21267,0.97673,0.00505,0.00505,0.00505
54,1522.02,0.68163,0.31213,1.08195,0.99697,0.99437,0.99466,0.8889,0.58217,0.21095,0.99106,0.004951,0.004951,0.004951
55,2279.68,0.68774,0.31344,1.07435,0.99691,0.99437,0.99466,0.89001,0.57891,0.21184,0.97077,0.004852,0.004852,0.004852
56,3037.51,0.68961,0.3164,1.07345,0.99697,0.99437,0.99466,0.8905,0.58177,0.20897,0.96985,0.004753,0.004753,0.004753
57,3795.67,0.6859,0.31393,1.07611,0.99695,0.99437,0.99446,0.8906,0.58206,0.20862,0.96937,0.004654,0.004654,0.004654
58,4553.58,0.69258,0.31453,1.07837,0.99696,0.99437,0.99457,0.89022,0.58105,0.20887,0.96683,0.004555,0.004555,0.004555
59,5311.19,0.69,0.31245,1.07268,0.99705,0.99437,0.99459,0.8927,0.57731,0.2067,0.96351,0.004456,0.004456,0.004456
60,6068.71,0.68507,0.3093,1.06895,0.99701,0.99437,0.99467,0.88992,0.57774,0.20688,0.96387,0.004357,0.004357,0.004357
61,6826.18,0.68479,0.31114,1.07523,0.99687,0.99437,0.99463,0.88948,0.5793,0.2057,0.96772,0.004258,0.004258,0.004258
62,7583.76,0.68443,0.30902,1.08065,0.99614,0.99437,0.99446,0.89078,0.57818,0.20642,0.96811,0.004159,0.004159,0.004159
63,8341.12,0.68131,0.30894,1.07737,0.99606,0.99437,0.99439,0.89124,0.5772,0.20716,0.97261,0.00406,0.00406,0.00406
64,9098.58,0.67851,0.3093,1.08495,0.99551,0.99437,0.99445,0.89368,0.57592,0.20572,0.98275,0.003961,0.003961,0.003961
65,9856.19,0.67344,0.30652,1.06716,0.99556,0.99437,0.99415,0.89179,0.57618,0.20503,0.98167,0.003862,0.003862,0.003862
66,10613.8,0.66868,0.30079,1.06667,0.99577,0.99553,0.99412,0.89395,0.57536,0.20647,0.98188,0.003763,0.003763,0.003763
67,11371.2,0.65956,0.29869,1.0654,0.99577,0.99545,0.99411,0.89344,0.57552,0.20519,0.98575,0.003664,0.003664,0.003664
68,764.311,0.64039,0.28689,1.04891,0.99577,0.99546,0.99424,0.89455,0.5758,0.20425,0.98639,0.003565,0.003565,0.003565
69,1523.03,0.64562,0.29163,1.04776,0.99568,0.99577,0.9943,0.89357,0.57678,0.20434,0.98446,0.003466,0.003466,0.003466
70,2281.19,0.6506,0.2931,1.0528,0.99574,0.99577,0.99428,0.89464,0.57574,0.20453,0.97789,0.003367,0.003367,0.003367
71,3039.34,0.6473,0.29218,1.05229,0.9955,0.99577,0.99417,0.89392,0.57566,0.20327,0.97681,0.003268,0.003268,0.003268
72,3797.36,0.64117,0.28848,1.04563,0.99557,0.99577,0.99412,0.89439,0.57594,0.20301,0.97497,0.003169,0.003169,0.003169
73,4555.22,0.64589,0.29027,1.06082,0.99555,0.99577,0.99422,0.89301,0.57482,0.20321,0.97468,0.00307,0.00307,0.00307
74,5312.82,0.64447,0.28763,1.05468,0.99568,0.99577,0.99416,0.89371,0.57378,0.2043,0.9756,0.002971,0.002971,0.002971
75,6070.36,0.63936,0.28484,1.04371,0.99553,0.99577,0.99415,0.89418,0.5726,0.20252,0.97257,0.002872,0.002872,0.002872
76,6827.8,0.6387,0.28536,1.04445,0.99555,0.99577,0.99414,0.89604,0.57107,0.20168,0.96966,0.002773,0.002773,0.002773
77,764.037,0.60491,0.27058,1.02443,0.9957,0.99577,0.99412,0.89728,0.57145,0.20195,0.96922,0.002674,0.002674,0.002674
78,1522,0.61203,0.2728,1.03101,0.99575,0.99577,0.99414,0.89837,0.57114,0.201,0.96902,0.002575,0.002575,0.002575
79,2279.98,0.62067,0.27716,1.03603,0.99589,0.99577,0.99412,0.89849,0.57062,0.20043,0.96813,0.002476,0.002476,0.002476
80,3037.83,0.61847,0.27924,1.0366,0.99596,0.99577,0.9941,0.89912,0.56973,0.20033,0.96696,0.002377,0.002377,0.002377
81,3795.69,0.61377,0.27334,1.03661,0.99577,0.99549,0.99412,0.89946,0.56886,0.2006,0.96595,0.002278,0.002278,0.002278
82,4553.61,0.62178,0.27432,1.04246,0.99577,0.9955,0.99413,0.89917,0.5671,0.20044,0.96443,0.002179,0.002179,0.002179
83,5311.05,0.62156,0.27152,1.03553,0.99577,0.99545,0.9942,0.89925,0.56561,0.19969,0.96291,0.00208,0.00208,0.00208
84,6068.71,0.61737,0.27248,1.03153,0.99718,0.99523,0.99422,0.89939,0.56424,0.19847,0.9612,0.001981,0.001981,0.001981
85,6826.88,0.61602,0.27436,1.03785,0.99577,0.99543,0.99423,0.89979,0.56299,0.19886,0.96018,0.001882,0.001882,0.001882
86,7584.91,0.61932,0.27598,1.03683,0.99634,0.99437,0.99422,0.89951,0.56224,0.19889,0.9591,0.001783,0.001783,0.001783
87,8342.71,0.61446,0.27246,1.03215,0.99646,0.99437,0.99425,0.90036,0.56127,0.19811,0.95794,0.001684,0.001684,0.001684
88,9100.53,0.61379,0.26989,1.02607,0.99541,0.99577,0.99426,0.90088,0.5599,0.19753,0.95535,0.001585,0.001585,0.001585
89,9858.16,0.6069,0.26819,1.02868,0.99674,0.99577,0.99426,0.90185,0.55878,0.19785,0.95315,0.001486,0.001486,0.001486
90,10616.4,0.60629,0.26596,1.02647,0.99663,0.99577,0.99427,0.90148,0.55781,0.1976,0.95146,0.001387,0.001387,0.001387
91,762.957,0.56905,0.25256,1.00432,0.99665,0.99577,0.99427,0.90066,0.55762,0.19699,0.95057,0.001288,0.001288,0.001288
92,1521.08,0.57321,0.25396,1.00522,0.99668,0.99577,0.99429,0.90121,0.55734,0.19675,0.94956,0.001189,0.001189,0.001189
93,2279.07,0.57816,0.22843,1.01494,0.99666,0.99577,0.99432,0.90167,0.55621,0.19687,0.94846,0.00109,0.00109,0.00109
94,3036.04,0.56417,0.2238,1.01036,0.99664,0.99577,0.99432,0.90222,0.55487,0.19657,0.94727,0.000991,0.000991,0.000991
95,3792.72,0.5604,0.22265,1.00726,0.99661,0.99577,0.99436,0.9019,0.55337,0.1964,0.94603,0.000892,0.000892,0.000892
96,2279.07,0.57816,0.22843,1.01494,0.99666,0.99577,0.99432,0.90167,0.55621,0.19687,0.94846,0.00109,0.00109,0.00109
97,3036.04,0.56417,0.2238,1.01036,0.99664,0.99577,0.99432,0.90222,0.55487,0.19657,0.94727,0.000991,0.000991,0.000991
98,3792.72,0.5604,0.22265,1.00726,0.99661,0.99577,0.99436,0.9019,0.55337,0.1964,0.94603,0.000892,0.000892,0.000892
99,4549.35,0.55272,0.21918,1.00159,0.9966,0.99577,0.99438,0.90345,0.5519,0.19673,0.94501,0.000793,0.000793,0.000793
100,5305.68,0.54919,0.219,1.00287,0.997,0.99577,0.99441,0.90359,0.55043,0.19569,0.94418,0.000694,0.000694,0.000694
