epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,763.581,0.6751,0.30819,1.06891,0.99697,0.99437,0.9945,0.88719,0.58002,0.21267,0.97673,0.00505,0.00505,0.00505
52,1522.02,0.68163,0.31213,1.08195,0.99697,0.99437,0.99466,0.8889,0.58217,0.21095,0.99106,0.004951,0.004951,0.004951
53,2279.68,0.68774,0.31344,1.07435,0.99691,0.99437,0.99466,0.89001,0.57891,0.21184,0.97077,0.004852,0.004852,0.004852
54,3037.51,0.68961,0.3164,1.07345,0.99697,0.99437,0.99466,0.8905,0.58177,0.20897,0.96985,0.004753,0.004753,0.004753
55,3795.67,0.6859,0.31393,1.07611,0.99695,0.99437,0.99446,0.8906,0.58206,0.20862,0.96937,0.004654,0.004654,0.004654
56,4553.58,0.69258,0.31453,1.07837,0.99696,0.99437,0.99457,0.89022,0.58105,0.20887,0.96683,0.004555,0.004555,0.004555
57,5311.19,0.69,0.31245,1.07268,0.99705,0.99437,0.99459,0.8927,0.57731,0.2067,0.96351,0.004456,0.004456,0.004456
58,6068.71,0.68507,0.3093,1.06895,0.99701,0.99437,0.99467,0.88992,0.57774,0.20688,0.96387,0.004357,0.004357,0.004357
59,6826.18,0.68479,0.31114,1.07523,0.99687,0.99437,0.99463,0.88948,0.5793,0.2057,0.96772,0.004258,0.004258,0.004258
60,7583.76,0.68443,0.30902,1.08065,0.99614,0.99437,0.99446,0.89078,0.57818,0.20642,0.96811,0.004159,0.004159,0.004159
61,8341.12,0.68131,0.30894,1.07737,0.99606,0.99437,0.99439,0.89124,0.5772,0.20716,0.97261,0.00406,0.00406,0.00406
62,9098.58,0.67851,0.3093,1.08495,0.99551,0.99437,0.99445,0.89368,0.57592,0.20572,0.98275,0.003961,0.003961,0.003961
63,9856.19,0.67344,0.30652,1.06716,0.99556,0.99437,0.99415,0.89179,0.57618,0.20503,0.98167,0.003862,0.003862,0.003862
64,10613.8,0.66868,0.30079,1.06667,0.99577,0.99553,0.99412,0.89395,0.57536,0.20647,0.98188,0.003763,0.003763,0.003763
65,11371.2,0.65956,0.29869,1.0654,0.99577,0.99545,0.99411,0.89344,0.57552,0.20519,0.98575,0.003664,0.003664,0.003664
66,12128.8,0.67099,0.30078,1.0718,0.99577,0.99555,0.99412,0.89323,0.57426,0.20349,0.98597,0.003565,0.003565,0.003565
67,12886.4,0.6633,0.29793,1.06114,0.99527,0.99437,0.99414,0.89518,0.5746,0.20399,0.98496,0.003466,0.003466,0.003466
68,13644,0.66475,0.29856,1.06896,0.99437,0.99551,0.99416,0.89661,0.57397,0.2046,0.98522,0.003367,0.003367,0.003367
69,14402,0.65651,0.29148,1.06156,0.99564,0.99437,0.99416,0.89778,0.5728,0.2035,0.98315,0.003268,0.003268,0.003268
70,15159.7,0.65438,0.29314,1.054,0.99437,0.99577,0.99423,0.89696,0.57164,0.20278,0.978,0.003169,0.003169,0.003169
71,15917.3,0.64953,0.29031,1.04919,0.99437,0.99575,0.99423,0.89614,0.57072,0.20167,0.9745,0.00307,0.00307,0.00307
72,16675.7,0.64512,0.28939,1.05605,0.99437,0.99567,0.99421,0.8977,0.56908,0.20244,0.97224,0.002971,0.002971,0.002971
73,17433.9,0.64338,0.28847,1.05312,0.99299,0.99718,0.9942,0.89991,0.5672,0.20253,0.97061,0.002872,0.002872,0.002872
74,18192.2,0.6374,0.28476,1.04079,0.99438,0.99696,0.99422,0.89911,0.56517,0.20097,0.96603,0.002773,0.002773,0.002773
75,18950.4,0.64116,0.28443,1.04827,0.99438,0.99718,0.99424,0.90071,0.5626,0.19944,0.96275,0.002674,0.002674,0.002674
76,19708.5,0.63965,0.2857,1.05042,0.99438,0.99718,0.99432,0.90204,0.56009,0.19997,0.9604,0.002575,0.002575,0.002575
77,20466.8,0.63524,0.28221,1.04238,0.99438,0.99718,0.99437,0.90416,0.55662,0.19824,0.9572,0.002476,0.002476,0.002476
78,21225,0.64161,0.28391,1.04133,0.99438,0.99718,0.99443,0.90511,0.55382,0.19683,0.95366,0.002377,0.002377,0.002377
